label,hsa-mir-21,hsa-mir-10b,hsa-mir-30a,hsa-mir-22,hsa-mir-143,hsa-mir-10a,hsa-mir-148a,hsa-mir-99b,hsa-mir-182,hsa-let-7b,hsa-mir-30e,hsa-let-7a-2,hsa-mir-103a-2,hsa-mir-103a-1,hsa-mir-375,hsa-let-7a-3,hsa-let-7a-1,hsa-mir-100,hsa-mir-183,hsa-mir-25,hsa-mir-199b,hsa-mir-200c,hsa-let-7c,hsa-mir-30d,hsa-mir-199a-2,hsa-mir-23a,hsa-mir-101-2,hsa-mir-101-1,hsa-mir-29a,hsa-mir-28,hsa-mir-92a-1,hsa-mir-126,hsa-mir-203a,hsa-mir-92a-2,hsa-mir-93,hsa-let-7f-2,hsa-let-7f-1,hsa-mir-205,hsa-mir-199a-1,hsa-mir-29c,hsa-mir-145,hsa-mir-99a,hsa-mir-27a,hsa-mir-151a,hsa-mir-451a,hsa-mir-142,hsa-mir-23b,hsa-mir-181a-2,hsa-mir-27b,hsa-mir-141,hsa-mir-320a,hsa-let-7e,hsa-mir-140,hsa-mir-379,hsa-mir-127,hsa-mir-125a,hsa-mir-26a-2,hsa-mir-26a-1,hsa-mir-1307,hsa-mir-181a-1,hsa-mir-30b,hsa-mir-30c-2,hsa-mir-191,hsa-mir-17,hsa-mir-30c-1,hsa-mir-150,hsa-mir-26b,hsa-mir-125b-2,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-9-1,hsa-mir-125b-1,hsa-mir-374a,hsa-mir-193a,hsa-mir-378a,hsa-mir-24-2,hsa-mir-200a,hsa-mir-192,hsa-mir-24-1,hsa-mir-532,hsa-let-7i,hsa-mir-146b,hsa-let-7g,hsa-mir-200b,hsa-let-7d,hsa-mir-106b,hsa-mir-486-1,hsa-mir-486-2,hsa-mir-134,hsa-mir-29b-2,hsa-mir-29b-1,hsa-mir-500a,hsa-mir-425,hsa-mir-210,hsa-mir-342,hsa-mir-361,hsa-mir-197,hsa-mir-196b,hsa-mir-365a,hsa-mir-365b,hsa-mir-144,hsa-mir-338,hsa-mir-186,hsa-mir-16-2,hsa-mir-155,hsa-mir-16-1,hsa-mir-542,hsa-mir-152,hsa-mir-625,hsa-mir-196a-2,hsa-mir-20a,hsa-mir-335,hsa-mir-15b,hsa-mir-196a-1,hsa-mir-139,hsa-mir-455,hsa-mir-133a-1,hsa-mir-181b-1,hsa-mir-223,hsa-mir-424,hsa-mir-181b-2,hsa-mir-133a-2,hsa-mir-423,hsa-mir-148b,hsa-mir-221,hsa-mir-193b,hsa-mir-34a,hsa-mir-206,hsa-mir-582,hsa-mir-15a,hsa-mir-574,hsa-mir-149,hsa-mir-107,hsa-mir-708,hsa-mir-629,hsa-mir-1-2,hsa-mir-452,hsa-mir-146a,hsa-mir-181c,hsa-mir-1-1,hsa-mir-130a,hsa-mir-92b,hsa-mir-374b,hsa-mir-132,hsa-mir-194-2,hsa-mir-195,hsa-mir-429,hsa-mir-337,hsa-mir-194-1,hsa-mir-484,hsa-mir-584,hsa-mir-133b,hsa-mir-3607,hsa-mir-128-1,hsa-mir-675,hsa-mir-224,hsa-mir-328,hsa-mir-19b-1,hsa-mir-1247,hsa-mir-153-2,hsa-mir-185,hsa-mir-19b-2,hsa-mir-2355,hsa-mir-589,hsa-mir-339,hsa-mir-222,hsa-mir-98,hsa-mir-381,hsa-mir-497,hsa-mir-664a,hsa-mir-409,hsa-mir-128-2,hsa-mir-3065,hsa-mir-136,hsa-mir-505,hsa-mir-1287,hsa-mir-214,hsa-mir-324,hsa-mir-744,hsa-mir-653,hsa-mir-203b,hsa-mir-501,hsa-mir-1269a,hsa-mir-654,hsa-mir-652,hsa-mir-874,hsa-mir-4662a,hsa-mir-106a,hsa-mir-184,hsa-mir-20b,hsa-mir-660,hsa-mir-218-1,hsa-mir-382,hsa-mir-331,hsa-mir-330,hsa-mir-7-1,hsa-mir-218-2,hsa-mir-628,hsa-mir-5683,hsa-mir-187,hsa-mir-758,hsa-mir-96,hsa-mir-181d,hsa-mir-340,hsa-mir-769,hsa-mir-32,hsa-mir-363,hsa-mir-217,hsa-mir-19a,hsa-mir-450b,hsa-mir-598,hsa-mir-215,hsa-mir-130b,hsa-mir-511,hsa-mir-345,hsa-mir-34c,hsa-mir-326,hsa-mir-889,hsa-mir-33a,hsa-mir-431,hsa-mir-6510,hsa-mir-590,hsa-mir-1180,hsa-mir-1266,hsa-mir-370,hsa-mir-190b,hsa-mir-502,hsa-mir-18a,hsa-mir-135b,hsa-mir-539,hsa-mir-369,hsa-mir-483,hsa-mir-1269b,hsa-mir-410,hsa-mir-495,hsa-mir-503,hsa-mir-204,hsa-mir-576,hsa-mir-493,hsa-mir-1301,hsa-mir-362,hsa-mir-301a,hsa-mir-3613,hsa-mir-3074,hsa-mir-411,hsa-mir-432,hsa-mir-449a,hsa-mir-105-1,hsa-mir-105-2,hsa-mir-1976,hsa-mir-154,hsa-mir-767,hsa-mir-1306,hsa-mir-1468,hsa-mir-378c,hsa-mir-3677,hsa-mir-376c,hsa-mir-887,hsa-mir-615,hsa-mir-454,hsa-mir-412,hsa-mir-3653,hsa-mir-4677,hsa-mir-31,hsa-mir-508,hsa-mir-3127,hsa-mir-766,hsa-mir-1296,hsa-mir-500b,hsa-mir-296,hsa-mir-487b,hsa-mir-671,hsa-mir-942,hsa-mir-934,hsa-mir-485,hsa-mir-320b-2,hsa-mir-190a,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-577,hsa-mir-299,hsa-mir-664b,hsa-mir-4326,hsa-mir-377,hsa-mir-33b,hsa-mir-642a,hsa-mir-323a,hsa-mir-491,hsa-mir-212,hsa-mir-519a-1,hsa-mir-551b,hsa-mir-1271,hsa-mir-320b-1,hsa-mir-323b,hsa-mir-4772,hsa-mir-6892,hsa-mir-3615,hsa-mir-655,hsa-mir-1245a,hsa-mir-592,hsa-mir-940,hsa-mir-891a,hsa-mir-129-2,hsa-mir-3614,hsa-mir-4728,hsa-mir-935,hsa-mir-95,hsa-mir-3605,hsa-mir-3200,hsa-mir-4661,hsa-mir-34b,hsa-mir-129-1
breast,467274,113225,99848,114278,58689,29118,48146,61645,64157,33438,30095,11598,75114,75289,26926,11604,11439,11281,24472,8511,19548,23937,6163,19200,14199,8799,6128,6158,7602,6106,6093,9585,11529,5572,8471,2037,1945,8504,7675,1540,7822,3120,2409,2772,205,4689,3551,2436,2211,5813,2424,1409,990,970,1937,1551,2458,2469,1731,1765,2769,3293,3528,3644,3229,875,2005,911,1742,1729,1779,852,783,553,235,2564,978,1218,2415,711,1231,3681,930,791,744,1082,20,12,960,608,479,744,3859,658,2092,595,552,639,390,388,69,435,598,994,616,959,964,309,320,892,780,96,388,643,62,372,4,301,203,1175,307,8,281,393,184,448,409,0,167,322,163,277,247,297,85,3,19,209,114,3,313,122,220,102,130,181,140,64,93,183,40,2,428,70,67,16,86,196,11,34,89,173,65,36,82,124,49,56,71,74,118,41,64,111,62,44,77,90,40,18,273,74,39,44,54,30,23,98,20,51,69,38,43,32,25,54,37,52,4,6,37,61,22,33,60,36,24,21,81,59,24,12,25,7,35,35,18,19,16,28,7,28,29,17,26,46,19,87,108,76,23,34,0,8,28,190,5,15,39,37,73,74,13,18,14,17,2,0,0,16,26,0,4,12,4,27,17,31,12,32,20,59,12,28,29,8,16,14,11,10,10,18,6,1,12,18,6,18,16,5,5,9,28,8,12,10,18,2,5,0,1,12,16,13,4,7,10,8,5,12,14,1,2,12,6,25,2,8,4,6,12,1
breast,292500,268413,51062,81191,33967,20800,93027,39483,56088,17074,37364,13823,36390,36178,11115,14051,14038,3925,17208,12260,10513,9276,2208,9577,7597,5673,8424,8324,10239,5597,4900,5970,7852,4407,6974,7484,7341,427,4217,9745,2053,758,2532,2161,216,19098,1151,1504,1146,1732,885,984,1186,466,729,1104,1518,1505,1495,1205,2889,1760,1981,1144,1623,9734,1810,433,136,124,137,486,1213,355,212,719,1536,1292,695,2017,803,1654,1493,1157,617,532,35,28,296,804,1493,966,624,376,1078,662,342,274,348,344,54,670,476,429,1827,430,208,175,444,1160,341,66,319,874,47,213,4,197,1377,146,156,2,210,318,213,276,167,0,306,223,107,228,122,181,230,3,15,523,74,2,108,118,97,139,139,64,230,33,126,146,21,2,254,94,9,5,38,134,43,42,60,127,60,92,157,100,79,9,41,57,30,55,8,45,58,40,39,72,48,17,119,77,244,13,25,41,39,12,10,23,102,31,22,61,40,92,26,17,2,0,24,71,26,46,38,63,11,19,51,26,9,8,26,20,25,47,16,11,54,7,0,37,3,6,4,18,25,16,15,12,11,4,9,2,3,15,3,31,12,14,32,8,23,32,2,4,0,0,0,22,15,0,7,10,5,19,13,10,20,20,2,46,22,6,28,9,19,7,18,2,6,12,11,0,3,2,6,4,9,7,2,7,8,5,13,20,5,3,8,1,1,2,1,9,31,3,2,5,2,21,7,0,1,8,1,1,2,2,0,4,7,0
breast,3603126,131944,59377,232281,320997,914579,42976,79724,308810,42077,37080,56553,185010,183124,2293,55925,56435,18040,74202,37140,24110,77819,11728,52846,18975,13357,17777,17339,15906,5852,14451,16528,2960,12691,28081,28492,28181,2727,11278,7429,3776,4849,7526,10977,844,2910,5999,16488,8654,20077,2390,7383,6321,2812,3886,2058,4367,4453,5288,21199,6659,1956,6865,5693,3525,3504,1794,1808,370,348,341,1724,2143,1261,3155,3294,3214,3483,3217,3627,1172,4511,2953,2242,1037,3065,258,256,720,1040,819,1482,4533,293,1859,1529,931,253,251,252,363,4754,667,923,742,895,1188,814,1211,979,1835,476,750,908,637,272,6,1749,828,278,1553,1,821,343,392,367,453,0,312,1138,334,701,556,220,340,9,241,1076,318,3,289,414,158,440,466,292,245,93,372,141,100,0,31,248,355,75,65,281,63,32,411,277,73,344,245,96,192,186,129,95,122,116,23,178,66,108,245,107,78,46,8,79,0,99,64,82,75,208,16,264,282,114,106,67,57,100,104,40,553,6,98,686,63,251,82,142,175,58,137,91,55,82,78,15,21,76,7,81,37,48,26,21,158,12,43,16,51,25,12,8,35,53,0,93,14,119,26,28,65,18,60,50,16,19,54,40,171,0,0,17,24,0,12,25,29,5,15,14,12,43,45,15,44,18,8,33,29,25,29,6,23,19,24,2,25,10,16,14,29,0,7,11,22,3,11,13,20,8,14,3,0,6,6,3,22,1,22,8,6,7,6,10,5,34,5,5,6,2,4,7,11,3
breast,771427,219237,79137,206098,157849,34482,52148,33186,11839,67417,35198,29028,31800,31802,1406,29045,29199,24679,4711,13001,12098,4438,10857,16756,8921,10525,12710,12825,8251,7744,3492,2565,3811,3142,4246,12424,12375,927,4680,5315,1635,4338,2295,5258,509,5253,2666,1714,1322,495,536,2662,1778,2050,1320,863,1451,1443,691,1137,557,597,310,636,536,2715,472,606,249,266,296,497,2073,778,679,600,564,885,577,1373,1174,1390,928,400,541,575,55,49,711,319,613,1040,261,22,270,451,183,230,308,310,265,296,348,175,1747,198,611,418,494,342,160,363,125,318,139,57,6,128,379,64,140,3,117,147,253,63,107,0,94,197,61,30,288,259,234,8,233,727,97,6,76,62,220,123,198,80,59,45,215,49,116,2,18,151,24,123,16,42,156,14,145,33,69,133,14,68,145,67,26,38,52,112,33,33,32,26,25,28,26,36,34,143,1,20,43,21,51,16,17,4,67,39,54,15,37,17,32,36,7,1,32,2,22,35,22,20,3,77,15,30,18,48,15,16,2,11,7,31,1,10,3,16,13,14,19,4,21,8,3,16,11,4,0,21,9,7,10,9,12,6,10,3,19,11,8,18,1,5,14,20,14,5,8,10,9,16,2,3,6,6,5,5,12,3,1,24,6,1,8,1,7,8,6,2,9,0,16,4,2,0,6,6,4,5,7,0,1,1,7,2,0,0,1,1,16,1,1,0,5,1,0,18,0,7,1,0,2,4,1,6,0,1
breast,740009,127604,318285,241372,29734,167150,163677,93010,405103,63427,44269,17845,57225,57551,45666,18017,17738,11253,87548,13961,45429,32563,7030,14417,33544,13487,8731,8724,11961,9177,3424,6953,21519,3113,15121,3727,3588,8397,18713,2972,3115,2946,4569,2807,142,2778,6491,3799,5236,4230,2818,1775,1217,1783,3337,2345,1463,1530,1647,3083,1847,5570,3122,1254,5399,190,2654,974,193,179,172,882,2171,919,495,1710,3025,1697,1609,652,1297,1984,1151,2085,1344,1017,13,14,1619,1349,1144,826,1811,2156,3291,794,513,776,610,598,51,316,625,815,647,805,495,877,610,589,311,35,276,372,64,472,2,475,149,164,533,2,469,230,255,517,632,0,457,479,374,648,221,640,184,2,14,61,228,0,395,186,250,89,195,94,434,183,160,168,34,0,162,107,69,18,39,119,26,89,105,128,121,186,151,130,98,81,79,85,175,46,23,198,67,58,163,54,61,15,277,66,30,61,122,84,36,80,87,66,45,40,88,66,27,39,47,111,3,25,75,266,64,35,79,46,28,25,59,46,51,8,54,4,36,17,7,38,29,71,4,44,20,42,30,47,24,18,6,50,61,6,0,23,23,10,1,31,56,42,28,47,47,17,19,14,12,0,0,12,45,2,10,11,11,14,18,16,16,29,22,39,16,27,4,14,4,27,26,10,15,30,3,1,23,10,32,9,9,2,7,4,33,10,16,28,6,22,9,0,2,11,8,16,2,6,5,10,15,8,6,1,2,0,3,0,5,2,6,2,4,0
breast,212776,44526,140876,89048,51228,11384,39835,66333,83602,31481,38670,11256,21681,21647,3035,11332,11220,2576,44192,12331,15123,21807,4869,15001,10385,46504,6319,6334,7141,5583,14540,3200,28463,10399,13284,3880,3758,195,5619,1511,2138,678,16747,2493,135,2795,2784,1238,2046,6325,698,1422,689,445,847,1727,949,1020,2006,671,2161,1752,2680,4491,1778,325,1122,637,13724,13835,13825,555,409,600,778,5559,2249,1748,5175,1035,1183,866,1426,1419,1290,1840,19,15,400,534,980,378,530,4214,249,296,311,418,334,333,19,241,283,365,333,373,97,330,51,68,585,77,313,57,31,874,4,132,76,135,108,0,256,334,191,143,255,0,56,183,328,112,155,226,64,2,23,252,2351,2,112,127,29,103,116,48,334,24,124,290,109,0,111,72,27,14,165,183,2,17,33,166,38,39,72,139,108,26,86,51,42,55,58,63,91,42,39,221,40,12,127,58,0,12,19,58,34,24,1,5,47,21,27,60,85,29,21,20,0,567,12,119,798,33,26,23,1,17,62,8,11,14,56,7,38,4,11,3,44,14,78,29,28,5,10,0,18,64,292,24,10,4,0,4,6,5,0,17,10,34,7,71,15,33,2,9,0,0,0,18,8,0,11,8,14,7,5,4,14,35,9,15,8,0,2,2,1,7,7,2,6,19,4,17,8,6,7,3,4,70,0,5,34,1,11,2,4,4,4,41,0,11,0,15,6,1,2,0,3,6,6,2,2,6,4,1,3,7,1,4,1,0
breast,680340,94635,154939,250856,390984,60643,161993,308052,50915,40316,62238,48254,84479,85146,10749,24215,23992,26198,38052,53844,104268,24161,16502,79908,80387,27434,20345,20352,20354,16868,28675,9138,1553,25841,33460,8354,8145,7993,45506,17392,4070,2861,11072,32757,257,10629,3461,10486,3662,3786,2813,8957,4284,2948,3009,4033,2836,2874,17579,8922,5023,1514,2395,8824,1413,4239,1283,1265,54576,54948,54928,1182,3784,1782,1254,3800,6409,2069,3706,6419,1530,1982,1832,3992,2099,4702,60,46,807,1843,943,2740,839,2303,417,1410,1697,478,289,290,70,660,1202,629,1424,611,1231,724,410,1357,1534,410,1021,1285,142,2993,1,2324,217,694,2000,6,549,715,421,147,381,9,1702,385,293,352,999,425,507,2,128,380,394,4,215,924,183,357,256,124,847,92,282,369,950,4,88,480,61,55,373,207,221,65,374,200,285,278,137,142,485,176,123,131,92,368,73,143,394,203,707,397,475,11,19,313,0,86,276,93,103,90,67,64,254,51,77,110,327,65,57,30,18,361,53,54,71,131,165,178,17,61,88,58,161,26,163,20,81,15,24,58,113,40,27,100,128,37,36,1,81,290,210,18,15,1,0,32,25,90,5,65,37,102,43,62,29,61,25,13,0,72,57,34,19,52,84,187,16,77,13,1,66,23,14,8,74,14,23,40,34,11,35,59,19,30,41,264,18,28,10,18,19,448,12,13,28,4,23,8,13,4,25,131,4,24,24,16,18,8,28,8,3,29,68,2,532,24,5,2,14,7,39,54,5,472
breast,674116,66207,673978,165707,165401,16156,280528,73575,297217,293736,53773,174445,208567,207257,243154,175181,174358,6116,82259,26902,5148,117084,5504,55450,3888,23054,47002,46674,25682,17225,7328,9440,9920,6575,17259,56287,55649,27303,2144,85413,1513,1522,7478,13086,1085,1372,2602,3117,2764,20553,4720,10585,3096,407,480,3453,6131,6054,3636,2228,2444,4090,3843,2011,5896,272,2618,525,47,31,27,485,1451,3357,3045,3348,8483,2606,3116,2712,2397,1284,4601,8245,1967,2168,191,188,134,5762,9649,932,1550,520,2508,2084,579,7865,838,837,468,1472,987,1352,206,1321,816,253,847,52,571,311,1599,40,243,159,6,438,418,116,405,10,692,1292,225,861,638,0,113,953,296,35,1678,68,1197,3,58,63,202,5,61,950,117,358,320,562,1303,19,303,411,128,4,93,824,62,12,77,141,31,10,568,114,25,423,258,42,362,26,214,188,22,646,209,38,51,128,34,180,352,109,2,108,0,11,148,269,42,28,0,41,185,46,20,152,70,99,40,37,133,215,9,446,67,387,64,118,31,24,71,57,42,26,101,7,106,18,16,7,51,4,16,55,214,41,4,326,86,17,1,3,10,2,0,11,6,41,7,18,6,83,25,25,63,75,5,6,0,1,2,35,4,4,27,10,49,16,6,73,36,36,0,13,34,1,4,19,35,12,47,4,3,25,20,0,2,48,23,14,7,0,0,24,11,1,15,16,2,4,14,0,1,5,14,1,2,1,38,2,4,16,8,3,2,0,9,4,35,4,15,14,2,2
breast,445550,258409,36350,129864,119167,391273,98788,240754,86210,93974,45616,82050,23300,22910,72889,41771,41429,2564,35324,32237,18245,54132,3398,13650,13370,24946,10661,10690,16451,9829,8774,16823,6442,8165,14486,10590,10540,143,7335,8295,6337,458,10232,12207,833,6389,4877,2109,4569,13519,2193,6154,994,776,1428,6619,2437,2326,4503,944,5714,1604,10080,2292,1619,653,5754,955,1513,1485,1472,940,2615,1584,522,3649,3349,1485,3500,2153,1759,660,3238,3146,1710,2539,45,40,977,3034,2617,862,1654,1472,1072,849,2662,839,2871,2865,153,339,2006,1525,1308,1443,278,902,416,3487,327,517,2363,2908,126,568,18,228,159,386,157,9,1001,1101,132,1728,477,0,563,418,909,2057,200,273,694,9,24,242,215,12,115,671,483,219,86,184,599,78,100,645,46,2,244,245,79,23,281,297,12,59,192,288,152,134,353,104,347,30,220,441,81,169,48,69,175,63,79,198,187,16,0,133,21,53,69,99,563,124,0,77,63,90,58,332,150,294,52,175,1,13,24,128,43,93,119,204,37,29,41,26,79,18,186,8,70,15,80,10,100,11,7,185,34,75,21,171,68,24,4,16,23,16,0,7,13,36,5,59,59,44,27,135,70,39,15,8,8,411,384,13,16,214,45,23,5,190,18,23,139,77,0,17,42,2,3,33,61,59,25,10,11,50,25,0,9,30,11,18,22,1,7,30,76,7,91,63,18,16,9,0,2,14,6,14,6,33,14,5,31,44,60,8,0,11,7,115,1,14,19,3,9,0
breast,521026,336556,439345,182607,61536,34173,157282,102894,101733,104411,34939,72528,38918,38690,37502,36394,36000,13150,54355,13184,28072,22019,14188,19017,20429,12317,11781,11990,11403,6774,17524,6670,10827,16227,11117,7350,7098,33434,11262,8019,2736,4305,3411,2914,270,7579,3674,4395,2000,4023,2363,2446,1110,1240,2004,2812,2336,2466,2970,2911,1545,2218,5007,3234,1829,2538,3018,859,136,141,161,881,1093,939,340,1772,3173,1731,1795,785,1410,734,1634,1446,1390,1122,37,31,1134,861,1144,484,3617,1042,2956,723,1070,2135,354,351,71,846,563,1190,528,1191,887,833,333,4258,643,235,395,3756,75,457,4,508,123,1284,457,2,295,456,98,503,328,0,370,299,166,263,205,369,188,5,37,181,347,3,136,1241,162,116,160,133,253,102,164,406,38,0,436,115,50,11,105,132,86,47,59,144,88,84,92,48,98,38,81,133,47,87,37,110,30,49,100,122,121,31,30,43,3,39,64,65,28,131,10,201,47,45,60,94,49,38,31,120,11,44,35,104,51,24,59,52,355,29,35,34,12,12,37,6,50,8,17,8,24,19,3,35,50,16,25,104,23,17,7,34,16,9,0,14,16,70,1,52,37,15,15,32,19,20,8,14,1,0,0,29,11,0,14,7,7,18,9,27,50,23,9,28,24,31,37,13,7,24,4,10,12,16,9,0,6,20,7,11,16,4,3,4,4,8,31,6,6,14,6,0,2,2,4,13,9,2,11,4,10,12,32,1,1,1,6,5,0,18,1,1,1,1
